3504,8,130,18
3693,8,165,15
3436,8,150,18
3433,8,150,16
3449,8,140,17
4341,8,198,15
4354,8,220,14
4312,8,215,14
4425,8,225,14
3850,8,190,15
3563,8,170,15
3609,8,160,14
3761,8,150,15
3086,8,225,14
2372,4,95,24
2833,6,95,22
2774,6,97,18
2587,6,85,21
2130,4,88,27
1835,4,46,26
2672,4,87,25
2430,4,90,24
2375,4,95,25
2234,4,113,26
2648,6,90,21
4615,8,215,10
4376,8,200,10
4382,8,210,11
4732,8,193,9
2464,4,86,28
2220,4,81,25
2572,4,92,25
2255,4,79,26
2202,4,83,27
4215,8,140,17.5
4190,8,150,16
3962,8,120,15.5
4215,8,152,14.5
3233,6,100,22
3353,6,105,22
3012,6,81,24
3085,6,90,22.5
2035,4,52,29
2164,4,60,24.5
1937,4,70,29
1795,4,53,33
3651,6,100,20
3574,6,78,18
3645,6,110,18.5
3193,6,95,17.5
1825,4,71,29.5
1990,4,70,32
2155,4,75,28
2565,4,72,26.5
3150,4,102,20
3940,8,150,13
3270,4,88,19
2930,6,108,19
3820,6,120,16.5
4380,8,180,16.5
4055,8,145,13
3870,8,130,13
3755,8,150,13
2605,4,88,28
2640,4,88,27
2395,4,88,34
2575,4,85,31
2525,4,84,29
2735,4,90,27
2865,4,92,24
1980,4,74,36
2025,4,68,37
1970,4,68,31
2125,4,63,38
2125,4,70,36
2160,4,88,36
2205,4,75,36
2245,4,70,34
1965,4,67,38
1965,4,67,32
1995,4,67,38
2945,6,110,25
3015,6,85,38
2585,4,92,26
2835,6,112,22
2665,4,96,32
2370,4,84,36
2950,4,90,27
2790,4,86,27
2130,4,52,44
2295,4,84,32
2625,4,79,28
2720,4,82,31
